Seller;Codigo;S.Seg.;warehouse
E599;1310634;30;0003
E599;1313202;22;0003
E599;1314232;28;0003
E599;1314233;20;0003
E599;1317784;30;0003
E599;1319984;21;0003
E599;1322812;12;0003
E599;1324313;30;0003
E599;561835;30;0003
E599;561838;30;0003
E599;9011363;30;0003
E599;9012267;30;0003
E599;9012268;16;0003
E599;918857;11;0003
E599;918921;9;0003
E599;923394;16;0003
E599;941543;30;0003
E599;1113444;30;0003
E599;1128715;14;0003
E599;1159283;30;0003
E599;1299321;30;0003
E599;1204248002;8;0003
E599;1277567;30;0003
E599;1241467;23;0003
E599;1233904;30;0003
E599;1233905;30;0003
E599;1277501;16;0003
E599;1301689;30;0003
E599;1330105;24;0003
E599;1099814;22;0003
E599;1172696;12;0003
E599;1277522;11;0003
E599;152015;4;0003
E599;817248;19;0003
E599;1101492;28;0003
E599;1266126;30;0003
E599;938913;30;0003
E599;1046532;3;0003
E599;1111039;24;0003
E599;1248695;30;0003
E599;1248696;30;0003
E599;1256044;14;0003
E599;1225827;24;0003
E599;1278107;30;0003
E599;9011186;3;0003
E599;1076349;3;0003
E599;1264825;30;0003
E599;1277282;30;0003
E599;1303300;30;0003
E599;9010416;4;0003
E599;1192892;30;0003
E599;1214877;10;0003
E599;1283623;8;0003
E599;1188952;29;0003
E599;1226701;4;0003
E599;1292353;14;0003
E599;1314807;20;0003
E599;1189930;8;0003
E599;1192178;8;0003
E599;1207082;8;0003
E599;1218767;15;0003
E599;1256616;12;0003
E599;1256706;18;0003
E599;1262626;5;0003
E599;1226702;30;0003
E599;1276377;8;0003
E599;1278105;5;0003
E599;1119073;29;0003
E599;1153468;30;0003
E599;1173142;10;0003
E599;1182003;30;0003
E599;1204248003;5;0003
E599;1206818;30;0003
E599;1206819;30;0003
E599;1206820;30;0003
E599;1208650;30;0003
E599;1236818;30;0003
E599;1236933;30;0003
E599;1305530;30;0003
E599;1305532;25;0003
E599;1315237;30;0003
E599;1315239;30;0003
E599;1315240;30;0003
E599;1315241;30;0003
E599;9000743;9;0003
E599;9000744;4;0003
E599;9003439;30;0003
E599;9004004;30;0003
E599;878382;30;0003
E599;9000006;30;0003
E599;9000742;28;0003
E599;1323070;30;0003
E599;1184597;30;0003
E599;1302431;28;0003
E599;1302436;30;0003
E599;1320598;30;0003
E599;1126295;30;0003
E599;1175791;30;0003
E599;1223799;30;0003
E599;1262971;9;0003
E599;9000737;30;0003
E599;1200675001;19;0003
E599;9000033;30;0003
E599;1031171;4;0003
E599;1193116;30;0003
E599;1194851;30;0003
E599;1276385;7;0003
E599;1280902;30;0003
E599;1300047;30;0003
E599;1303383;25;0003
E599;9003995;30;0003
E599;1210442;30;0003
E599;1200675002;18;0003
E599;1130766;30;0003
E599;1140647;11;0003
E599;1175792;30;0003
E599;1220435;30;0003
E599;9011365;30;0003
E599;1137574;15;0003
E599;1266120;30;0003
E599;1286123;4;0003
E599;1286124;30;0003
E599;902073002;30;0003
E599;902073003;30;0003
E599;1047930;4;0003
E599;1185730;3;0003
E599;1259002;6;0003
E599;1304742;14;0003
E599;1309995;5;0003
E599;1311027;4;0003
E599;184997;8;0003
E599;184999;8;0003
E599;185038;8;0003
E599;221442;4;0003
E599;1140922;5;0003
E599;1310068;8;0003
E599;1024642;6;0003
E599;1069407;6;0003
E599;1130773;6;0003
E599;1130774;6;0003
E599;1130775;7;0003
E599;1130776;7;0003
E599;1170786;15;0003
E599;1204740;30;0003
E599;1218729;30;0003
E599;1305527;30;0003
E599;182738;7;0003
E599;182740;6;0003
E599;182747;7;0003
E599;182752;7;0003
E599;182754;8;0003
E599;287342;3;0003
E599;402455;8;0003
E599;402456;6;0003
E599;1257185;8;0003
E599;1313799;4;0003
E599;1314917;24;0003
E599;1314930;3;0003
E599;1317085;4;0003
E599;1317087;4;0003
E599;1317089;4;0003
E599;1317096;3;0003
E599;1317098;8;0003
E599;1326283;4;0003
E599;1326285;4;0003
E599;1326294;4;0003
E599;710462;12;0003
E599;1330848;30;0003
E599;1330849;21;0003
E599;536127;6;0003
E599;600208;11;0003
E599;846813;30;0003
E599;1263509;4;0003
E599;1272682;30;0003
E599;1279525;30;0003
E599;1287703;4;0003
E599;1311703;4;0003
E599;1330016;9;0003
E599;9011161;8;0003
E599;1125403006;8;0003
E599;431216;10;0003
E599;893092;4;0003
E599;1210469;30;0003
E599;1261036;30;0003
E599;1046531;3;0003
E599;1233910;5;0003
E599;169534;6;0003
E599;9005283;29;0003
E599;113972;8;0003
E599;185175;6;0003
E599;545911;6;0003
E599;877225;3;0003
E599;1192421;23;0003
E599;1287179;4;0003
E599;1155799;4;0003
E599;1174578;4;0003
E599;1192934;4;0003
E599;1204724;30;0003
E599;1233100;7;0003
E599;1269736;4;0003
E599;1291146;5;0003
E599;1252135;6;0003
E599;1208244;5;0003
E599;1281708;30;0003
E599;1194937;30;0003
E599;1203885;24;0003
E599;1204716;8;0003
E599;1219012;3;0003
E599;1237152;30;0003
E599;1156364;8;0003
E599;1156369;5;0003
E599;1226704;22;0003
E599;842671;8;0003
E599;842672;8;0003
E599;1111033;6;0003
E599;1195552;8;0003
E599;1204248001;9;0003
E599;1184745;4;0003
E599;1049897;4;0003
E599;1298825;30;0003
E599;678145;30;0003
E599;930963;4;0003
E599;1176200;8;0003
E599;1279876;8;0003
E599;300607;16;0003
E599;1125173002;7;0003
E599;1173017;9;0003
E599;1212126;30;0003
E599;1256635;4;0003
E599;1256709;5;0003
E599;1256750;30;0003
E599;1256774;3;0003
E599;1256779;9;0003
E599;1240606;4;0003
E599;1256707;8;0003
E599;1256710;8;0003
E599;1286894;8;0003
E599;1305914;8;0003
E599;1100212;16;0003
E599;1142619;13;0003
E599;1173012;5;0003
E599;1204750;5;0003
E599;1218679;7;0003
E599;1218697;8;0003
E599;1220896;3;0003
E599;1240751;25;0003
E599;1264812;30;0003
E599;1286895;8;0003
E599;1288703;30;0003
E599;1288707;30;0003
E599;1167317;30;0003
E599;1310720;21;0003
E599;1338252;25;0003
E599;926568;4;0003
E599;1127891;4;0003
E599;1319583;6;0003
E599;1159671;15;0003
E599;1157454;30;0003
E599;1302465;30;0003
E599;1302466;30;0003
E599;1320956;20;0003
E599;1076127;27;0003
E599;1289995;30;0003
E599;1264824;24;0003
E599;1315848;30;0003
E599;1340364;30;0003
E599;1311928;8;0003
E599;1338535;30;0003
E599;1110291;30;0003
E599;1310094;30;0003
E599;1326287;20;0003
E599;1337846;30;0003
E599;1289121;30;0003
E599;1338536;30;0003
E599;423003;30;0003
E599;893097;4;0003
E599;1111031;3;0003
E599;1111032;11;0003
E599;1215188;12;0003
E599;1126864;30;0003
E599;1188047;25;0003
E599;1235202;30;0003
E599;1235203;29;0003
E599;1253849;18;0003
E599;1264054;30;0003
E599;1287286;30;0003
E599;1287288;14;0003
E599;1317972;8;0003
E599;1317973;6;0003
E599;1191915;30;0003
E599;1219331;30;0003
E599;1240753;20;0003
E599;1264818;30;0003
E599;1264819;30;0003
E599;1303932;6;0003
E599;1306972;21;0003
E599;1318077;30;0003
E599;1318078;30;0003
E599;2245079;30;0003
E599;590882;6;0003
E599;590925;9;0003
E599;1094805;30;0003
E599;1208953;22;0003
E599;1219330;30;0003
E599;1219332;30;0003
