sellers;sku_sap;stock_seguridad
E502;1160513;1
E502;1160513;1
E502;1162694;1
E502;1162694;1
E502;1162695;1
E502;1162695;1
E502;1166908;1
E502;1166908;1
E502;1172900;1
E502;1172900;1
E502;1172901;1
E502;1172901;1
E502;1172902;1
E502;1172902;1
E502;1172903;1
E502;1172903;1
E502;1172905;1
E502;1172905;1
E502;1172906;1
E502;1172906;1
E502;1172907;1
E502;1172907;1
E502;1172908;1
E502;1172908;1
E502;1172909;1
E502;1172909;1
E502;1188048;1
E502;1188048;1
E502;1212294;1
E502;1212294;1
E502;1212781;1
E502;1212781;1
E502;1220501;1
E502;1220501;1
E502;1220502;1
E502;1220502;1
E502;1220503;1
E502;1220503;1
E502;1220505;1
E502;1220505;1
E502;1231821;1
E502;1231821;1
E502;1253400;1
E502;1253400;1
E502;1253861;1
E502;1253861;1
E502;1253870;1
E502;1253870;1
E502;1254954;1
E502;1254954;1
E502;1254954;1
E502;1254955;1
E502;1254955;1
E502;1254955;1
E502;1254962;1
E502;1254962;1
E502;1275235;1
E502;1275235;1
E502;1284451;1
E502;1284451;1
E502;130496;1
E502;130496;1
E502;1308904;1
E502;1308904;1
E502;131183;1
E502;131183;1
E502;131184;1
E502;131184;1
E502;132863;1
E502;132863;1
E502;716042;1
E502;716042;1
E502;716043;1
E502;716043;1
E502;716044;1
E502;716044;1
E502;716045;1
E502;716045;1
E502;852216;1
E502;852216;1
E534;1160513;1
E534;1160513;1
E534;1162694;1
E534;1162694;1
E534;1162695;1
E534;1162695;1
E534;1166908;1
E534;1166908;1
E534;1172900;1
E534;1172900;1
E534;1172901;1
E534;1172901;1
E534;1172902;1
E534;1172902;1
E534;1172903;1
E534;1172903;1
E534;1172905;1
E534;1172905;1
E534;1172906;1
E534;1172906;1
E534;1172907;1
E534;1172907;1
E534;1172908;1
E534;1172908;1
E534;1172909;1
E534;1172909;1
E534;1188048;1
E534;1188048;1
E534;1212294;1
E534;1212294;1
E534;1212781;1
E534;1212781;1
E534;1220501;1
E534;1220501;1
E534;1220502;1
E534;1220502;1
E534;1220503;1
E534;1220503;1
E534;1220505;1
E534;1220505;1
E534;1231821;1
E534;1231821;1
E534;1253400;1
E534;1253400;1
E534;1253861;1
E534;1253861;1
E534;1253870;1
E534;1253870;1
E534;1254954;1
E534;1254954;1
E534;1254954;1
E534;1254955;1
E534;1254955;1
E534;1254955;1
E534;1254962;1
E534;1254962;1
E534;1275235;1
E534;1275235;1
E534;1284451;1
E534;1284451;1
E534;130496;1
E534;130496;1
E534;1308904;1
E534;1308904;1
E534;131183;1
E534;131183;1
E534;131184;1
E534;131184;1
E534;132863;1
E534;132863;1
E534;716042;1
E534;716042;1
E534;716043;1
E534;716043;1
E534;716044;1
E534;716044;1
E534;716045;1
E534;716045;1
E534;852216;1
E534;852216;1
E633;1160513;1
E633;1160513;1
E633;1162694;1
E633;1162694;1
E633;1162695;1
E633;1162695;1
E633;1166908;1
E633;1166908;1
E633;1172900;1
E633;1172900;1
E633;1172901;1
E633;1172901;1
E633;1172902;1
E633;1172902;1
E633;1172903;1
E633;1172903;1
E633;1172905;1
E633;1172905;1
E633;1172906;1
E633;1172906;1
E633;1172907;1
E633;1172907;1
E633;1172908;1
E633;1172908;1
E633;1172909;1
E633;1172909;1
E633;1188048;1
E633;1188048;1
E633;1212294;1
E633;1212294;1
E633;1212781;1
E633;1212781;1
E633;1220501;1
E633;1220501;1
E633;1220502;1
E633;1220502;1
E633;1220503;1
E633;1220503;1
E633;1220505;1
E633;1220505;1
E633;1231821;1
E633;1231821;1
E633;1253400;1
E633;1253400;1
E633;1253861;1
E633;1253861;1
E633;1253870;1
E633;1253870;1
E633;1254954;1
E633;1254954;1
E633;1254954;1
E633;1254955;1
E633;1254955;1
E633;1254955;1
E633;1254962;1
E633;1254962;1
E633;1275235;1
E633;1275235;1
E633;1284451;1
E633;1284451;1
E633;130496;1
E633;130496;1
E633;1308904;1
E633;1308904;1
E633;131183;1
E633;131183;1
E633;131184;1
E633;131184;1
E633;132863;1
E633;132863;1
